Category Name,2nd Category,3rd Category,brand,Manufacture pin,Product Name,stock,description,Retail price inc GST, url, Image Url
Computer Systems,Computer Components,SSD,Transcend,71208,TRANSCEND 512GB SATA III MTS800 80 MM M.2 SSD,with In Stock,TRANSCEND 512GB SATA III MTS800 80 MM M.2 SSD,385.8300,http://www.citywidetech.co.nz/p.aspx?65050,
Storage Media,,USB Flash Drive,Transcend,58693,TRANSCEND 64GB JETFLASH JF500 USB -RETRACTABLE (NAVY BLUE),Out of stock,TRANSCEND 64GB JETFLASH JF500 USB -RETRACTABLE (NAVY BLUE),31.6300,http://www.citywidetech.co.nz/p.aspx?65051,
Computer Systems,Computer Components,Optical Drive/CD/DVD/Blu-ray,Transcend,61789,TRANSCEND EXTERNAL SLIM 8 X DVD WRITER (USB 2.0)-BLACK EXTRA SLIM,with In Stock,TRANSCEND EXTERNAL SLIM 8 X DVD WRITER (USB 2.0)-BLACK EXTRA SLIM,43.6400,http://www.citywidetech.co.nz/p.aspx?65052,
Computer Systems,Computer Components,SSD,Transcend,67047,TRANSCEND 960G JETDRIVE720 FOR  MACBOOK PRO (RETINA) 13''''  LATE 2012 EARLY 2013,with In Stock,TRANSCEND 960G JETDRIVE720 FOR  MACBOOK PRO (RETINA) 13''''  LATE 2012 EARLY 2013,1087.9000,http://www.citywidetech.co.nz/p.aspx?65053,
Network,,Networking Accessory,Netgear,60956,NETGEAR AXM761P10 10GBASE-SR SFP+ AXM761 (PACK OF 10),with In Stock,NETGEAR AXM761P10 10GBASE-SR SFP+ AXM761 (PACK OF 10),2463.1200,http://www.citywidetech.co.nz/p.aspx?65054,
Network,,Networking Accessory,Netgear,54914,NETGEAR AXM762 PROSAFE 10GBASE-LR SFP+ LC GBIC FIBER MODULE,with In Stock,NETGEAR AXM762 PROSAFE 10GBASE-LR SFP+ LC GBIC FIBER MODULE,1240.1800,http://www.citywidetech.co.nz/p.aspx?65055,
Network,,Networking Accessory,Netgear,56649,NETGEAR AXM763 PROSAFE 10GBASE-LRM SFP+ LC GBIC MODULE,with In Stock,NETGEAR AXM763 PROSAFE 10GBASE-LRM SFP+ LC GBIC MODULE,974.9200,http://www.citywidetech.co.nz/p.aspx?65056,
Computer Systems,Portable Computers,Notebook,Acer,75662,ACER TRAVELMATE TMB118-RN-P556 NOTEBOOK 11.6 TOUCH + ACTIVE STYLU PENTIUM N4200 QUAD CORE 2.4GHZ 4GB RAM 128GB SSD NO ODD WINDOWS 10 - 1 YEAR WARRANTY,with In Stock,ACER TRAVELMATE TMB118-RN-P556 NOTEBOOK 11.6 TOUCH + ACTIVE STYLU PENTIUM N4200 QUAD CORE 2.4GHZ 4GB RAM 128GB SSD NO ODD WINDOWS 10 - 1 YEAR WARRANTY,909.5400,http://www.citywidetech.co.nz/p.aspx?65057,
Computer Systems,Portable Computers,Notebook Accessory,Lenovo,58062,LENOVO (41U5254) PERFORMANCE BACKPACK,with In Stock,LENOVO (41U5254) PERFORMANCE BACKPACK,48.3000,http://www.citywidetech.co.nz/p.aspx?65058,
Computer Systems,Portable Computers,Notebook Accessory,Lenovo,63633,LENOVO THINKPAD FITTED REVERSIBLE SLEEVE - 15,Out of stock,LENOVO THINKPAD FITTED REVERSIBLE SLEEVE - 15,29.2100,http://www.citywidetech.co.nz/p.aspx?65059,
Computer Systems,Portable Computers,Notebook Accessory,Lenovo,64135,LENOVO THINKPAD PROFESSIONAL BACKPACK,with In Stock,LENOVO THINKPAD PROFESSIONAL BACKPACK,94.3600,http://www.citywidetech.co.nz/p.aspx?65060,
Computer Systems,Portable Computers,Notebook Accessory,Lenovo,64136,LENOVO THINKPAD ESSENTIAL BACKPACK,Out of stock,LENOVO THINKPAD ESSENTIAL BACKPACK,57.7200,http://www.citywidetech.co.nz/p.aspx?65061,
Computer Systems,Portable Computers,Tablet Accessory,Lenovo,65199,LENOVO THINKPAD 10 SLEEVE DESIGNED BY SNUGG ? BLACK,with In Stock,LENOVO THINKPAD 10 SLEEVE DESIGNED BY SNUGG ? BLACK,41.5700,http://www.citywidetech.co.nz/p.aspx?65062,
Computer Systems,Computer Components,Power Supplies,Lenovo,60842,LENOVO (0A36302) THINKPAD BATTERY 70+ (6 CELL),with In Stock,LENOVO (0A36302) THINKPAD BATTERY 70+ (6 CELL),134.8000,http://www.citywidetech.co.nz/p.aspx?65063,
Computer Systems,Computer Components,Power Supplies,Lenovo,61712,LENOVO THINKPAD BATTERY 70++ (9 CELL) 94WH for T410 T420 T430 T510 T520 T530 W510 W520 W530 L410 L412 L420 L421 L430 L510 L512 L520  L530,Out of stock,LENOVO THINKPAD BATTERY 70++ (9 CELL) 94WH for T410 T420 T430 T510 T520 T530 W510 W520 W530 L410 L412 L420 L421 L430 L510 L512 L520  L530,186.4700,http://www.citywidetech.co.nz/p.aspx?65064,
Computer Systems,Portable Computers,Notebook Accessory,Lenovo,61709,LENOVO THINKPAD BATTERY 44 (4 CELL),with In Stock,LENOVO THINKPAD BATTERY 44 (4 CELL),128.0600,http://www.citywidetech.co.nz/p.aspx?65065,
Computer Systems,Computer Components,CPU / Processor,Intel,74631,Intel Core i7 7820X 3.60GHz Processor Socket 2066 (11MB Cache) - Without Cooler,Out of stock,Intel Core i7 7820X 3.60GHz Processor Socket 2066 (11MB Cache) - Without Cooler,972.7900,http://www.citywidetech.co.nz/p.aspx?65066,
Computer Systems,Computer Components,CPU / Processor,Intel,72936,INTEL CORE I5 7600 3.50 GHZ 6M LGA1151 PROCESSOR,with In Stock,INTEL CORE I5 7600 3.50 GHZ 6M LGA1151 PROCESSOR,383.3000,http://www.citywidetech.co.nz/p.aspx?65067,
Computer Systems,Computer Components,CPU / Processor,Intel,72937,INTEL CORE I5 7600K 3.80 GHZ 6M LGA1151 UNLOCKED PROCESSOR - WITHOUT COOLER,with In Stock,INTEL CORE I5 7600K 3.80 GHZ 6M LGA1151 UNLOCKED PROCESSOR - WITHOUT COOLER,390.8900,http://www.citywidetech.co.nz/p.aspx?65068,
Computer Systems,Computer Components,CPU / Processor,Intel,72939,INTEL CORE I7 7700K 4.20GHZ 8M LGA1151 UNLOCKED PROCESSOR - WITHOUT COOLER,Out of stock,INTEL CORE I7 7700K 4.20GHZ 8M LGA1151 UNLOCKED PROCESSOR - WITHOUT COOLER,576.8400,http://www.citywidetech.co.nz/p.aspx?65069,
